Year,Month,Paper,Question,Part,Stimulus / Scenario,Question Text,Marks,Markscheme,Explanation
2021,March,22,1,Stimulus,"Germany economy: trade surplus, ageing population, luxury car exports, labour mobility, declining trade union membership",Source material about Germany’s economy,-,,
2021,March,22,1,a,Germany stimulus,Calculate the number of Germans aged over 65 in 2017.,1,17.82m / 17 820 000,Accept 17.8 m and 18 m.
2021,March,22,1,b,Germany stimulus,Identify two measures of living standards.,2,GDP per head / average income; HDI; quality of education / education,"If more than two are given, consider the first two."
2021,March,22,1,c,Germany stimulus,Explain one cause of globalisation.,2,Fall in transport costs reducing costs of exporting and importing / increasing international trade; Improvement in communications due to advances in technology / increasing growth in MNCs / encouraging consumers to buy from other countries / enabling branches in different countries to keep in touch.,One mark for the cause identified and one mark for the explanation.
2021,March,22,1,d,Germany stimulus,Explain two advantages of an increase in the occupational mobility of labour.,4,Lower unemployment / increase employment workers losing one job will find another job more quickly / find another job more easily / maybe more skilled / reduce frictional unemployment / reduce structural unemployment; Higher output / higher GDP / economic growth firms experiencing higher demand will be able to expand more quickly / more elastic supply / quicker adjustment to changes in market conditions / workers may be able to multitask / change roles / may be more skilled / fewer unfilled vacancies / greater use of resources / fewer idle resources.,One mark each for each of two advantages identified and one mark each for each of two explanations. Do not credit 'more skilled' more than once.
2021,March,22,1,e,Germany stimulus,Analyse why the price of German luxury cars may have increased in 2018.,4,Increase in demand rise in incomes people buy more luxury cars as they get richer / luxury cars become more affordable; rise in price of US luxury cars these are substitutes to German luxury cars; Fall in the price of petrol / gas petrol / gas is a complement to cars firms can raise revenue / profits by increasing price; Decrease in supply rise in wages increasing costs of production.,
2021,March,22,1,f,Germany stimulus,Analyse whether the strength of German trade unions increased from 2013–2016.,5,Overview: Trade union membership fell unemployment fell and / or wages rose. Analysis of why trade union strength may have fallen: Trade union members represented a smaller proportion of labour force / proportion fell from 42.7% to 39.3% / number of members fell by approx. 5.6%; Fewer members so funds of / subscriptions to trade unions may have fallen reduces ability to take industrial action / reduces collective bargaining strength; Lower unemployment / higher wages may mean workers feel less need to join a union. Analysis of why trade union strength may have increased: Lower unemployment / higher wages may be the result of successful collective bargaining firms would have found it more difficult to replace members asking for better wages / better working conditions / firms may be reluctant to dismiss staff industrial action would have more effect / collective bargaining power may be stronger; Output / profits / demand for products may have increased. Comments: Other factors may have influenced trade union power e.g. government trade union legislation; Other factors may have influenced wages / unemployment e.g. national minimum wage / higher output / more skilled labour force.,
2021,March,22,1,g,Germany stimulus,Discuss whether or not an ageing labour force will reduce productivity.,6,Reasons why it might reduce productivity: May discourage investment workers will have less capital equipment to work with; Older workers may find it more difficult to adapt to new technology may resist change there may not be the time to train them may be less mobile; Older workers may be less fit less able to do manual work may have time off sick may have less energy / get tired work slower. Reasons why it might not reduce productivity: May encourage investment because of shortage of workers / desire to rely less on labour / help workers; Older workers may have more experience built up more skills / qualifications may need less training / have received more training may train young workers make fewer mistakes / produce better quality output; May be more reliable e.g. better punctuality; May stay with the employer longer / lower rate of labour turnover.,
2021,March,22,1,h,Germany stimulus,Discuss whether or not immigration will increase a country’s budget surplus.,6,Reasons why it might increase a budget surplus: May increase size of the labour force quality of the labour force may rise employment may rise more people with incomes higher tax revenue more income tax / direct tax revenue more spending / higher total demand more indirect tax revenue higher profits may increase corporate tax revenue. Reasons why it might not increase a budget surplus: Some immigrants may be dependents some may be unemployed increase government spending on state benefits / unemployment benefits pensions; The government may have to spend more on education healthcare housing / infrastructure; Labour force / population may not increase if matched by emigration; Larger population size may result in the government having to spend more on measures to reduce pollution.,Increase in the size of the labour force linked to why it might.
2021,March,22,2,Stimulus,India economic growth driven by government spending and exports; unemployment rising; risk of inflation,Scenario about India’s economy,-,,
2021,March,22,2,a,India stimulus,Define economic growth.,2,An increase in the country's / economy's output. An increase in real GDP over time. An increase in output. An increase in a country's / economy's productive capacity. An increase in productive potential.,Allow one mark for higher income / average income / GDP per head.
2021,March,22,2,b,India stimulus,Explain the possible opportunity cost to India of exporting more textiles.,4,Opportunity cost is the (next) best alternative forgone. Textiles that have been exported might have been sold on the home market may have increased choice lowered price. Resources may have been moved to producing the textile exports / resources used to produce textiles could have been used to produce other products output / exports of other products may have been reduced these products may provide more revenue / lose revenue from not exporting these products.,
